,To,tal Visitor,,,,
Total,Recreation,Spending,Labor,Income Valu,e Added Economi,c Output
State,Visits ($Millio,"ns, $2021)","Jobs ($Millions,",$2021) ($Millions,", $2021) ($Millions",", $2021)"
Louisiana,"288,483",$18.8,261,$8.3,$14.2,$25.5
Maine,"4,118,882",$489.5,"7,067",$261.2,$445.5,$770.4
Maryland,"6,675,119",$246.6,"2,940",$130.0,$215.2,$344.3
Massachusetts,"6,694,799",$721.0,"8,897",$457.3,$723.4,"$1,142.8"
Michigan,"3,337,907",$294.1,"4,085",$149.7,$254.7,$441.5
Minnesota,"1,003,604",$62.0,855,$31.9,$52.1,$91.8
Mississippi,"6,642,884",$224.4,"2,849",$75.7,$127.5,$246.0
Missouri,"2,810,908",$211.3,"3,274",$109.4,$174.5,$322.8
Montana,"5,946,419",$728.8,"11,194",$369.3,$561.8,"$1,075.3"
Nebraska,"357,074",$26.1,393,$12.8,$20.9,$38.3
Nevada,"5,880,516",$292.1,"3,084",$132.3,$228.6,$368.4
New Hampshire,"26,058",$1.4,19,$0.9,$1.4,$2.3
New Jersey,"5,561,119",$212.2,"2,977",$131.1,$195.9,$325.9
New Mexico,"2,449,307",$156.2,"2,076",$61.9,$106.0,$195.7
New York,"11,952,678",$451.7,"4,677",$235.2,$393.4,$600.2
North Carolina,"20,983,351","$1,692.5","24,755",$870.9,"$1,449.9","$2,584.2"
North Dakota,"818,787",$57.9,744,$23.3,$39.7,$73.0
Ohio,"2,809,563",$65.7,953,$36.7,$57.8,$103.6
Oklahoma,"1,532,339",$29.7,292,$9.4,$15.0,$29.0
Total,Recreation,Spending,Labor,Income Valu,e Added Economi,c Output
State,Visits ($Millio,"ns, $2021)","Jobs ($Millions,",$2021) ($Millions,", $2021) ($Millions",", $2021)"
Oregon,"1,104,459",$91.0,"1,277",$50.8,$80.1,$137.5
Pennsylvania,"6,252,091",$298.4,"4,507",$177.6,$268.1,$468.7
Puerto Rico,"798,188",$52.0,537,$24.2,$43.5,$67.0
Rhode Island,"20,719",$1.3,17,$0.7,$1.1,$1.9
South Carolina,"1,152,980",$69.3,917,$29.5,$51.9,$91.4
South Dakota,"4,848,398",$339.1,"4,592",$149.6,$250.4,$454.6
Tennessee,"11,030,443",$869.7,"11,756",$454.0,$747.2,"$1,275.1"
Texas,"5,887,579",$370.5,"5,412",$204.5,$322.4,$578.5
Utah,"14,796,739","$1,607.9","22,901",$822.2,"$1,423.0","$2,511.8"
Vermont,"47,997",$3.1,40,$1.4,$2.4,$4.1
Virgin Islands,"471,570",$59.2,665,$28.9,$54.1,$82.2
Virginia,"22,233,323","$1,261.6","18,000",$646.2,"$1,091.3","$1,906.0"
Washington,"8,176,244",$530.1,"5,788",$260.8,$464.0,$729.4
West Virginia,"2,187,125",$108.9,"1,447",$42.9,$71.2,$131.0
Wisconsin,"657,011",$68.7,"1,004",$33.2,$54.3,$99.3
Wyoming,"8,586,451","$1,142.4","15,164",$466.7,$774.6,"$1,428.4"
